date,T_avg,T_max,T_min,humidity_avg,rain_mm,avg_wind_kmh,wind_dir,max_wind_kmh,pressure_avg,radiation_avg
2010-08-20,23.45,29.1,17.8,76.77083333333333,0.1,5.116666666666666,169.3118529925026,24.5,1019.8958333333334,287.625
2010-08-21,26.6375,34.6,19.0,63.854166666666664,0.0,6.4750000000000005,252.4151935818316,28.1,1022.025,297.9375
2010-08-22,27.058333333333334,35.5,19.8,56.520833333333336,0.0,7.670833333333333,254.77544781195854,34.2,1016.94375,302.8958333333333
2010-08-23,25.495833333333334,32.7,19.2,73.39583333333333,0.0,6.51875,244.72897773971167,23.8,1010.6020833333333,254.29166666666666
2010-08-24,24.958333333333332,31.1,20.4,74.25,0.0,7.289583333333333,102.72747768910614,26.6,1013.1999999999999,264.9375
2010-08-25,25.327083333333334,32.4,18.0,67.75,0.0,6.575,255.42289131040218,27.4,1017.3541666666666,290.125
2010-08-26,26.35625,33.5,18.4,61.541666666666664,0.0,11.25625,258.0007528522694,36.7,1014.9812499999999,291.5
2010-08-27,27.81041666666667,36.8,20.7,58.208333333333336,0.0,10.964583333333332,253.07294784211405,45.7,1010.9375,273.5625
2010-08-28,23.43541666666667,29.2,18.5,62.645833333333336,0.0,8.768749999999999,224.22157279844458,31.7,1015.4,289.6041666666667
2010-08-29,22.633333333333336,28.1,19.1,66.25,0.0,6.366666666666667,205.89036226398753,28.8,1016.3229166666666,251.77083333333334
2010-08-30,21.34375,25.1,18.1,66.89583333333333,0.0,6.845833333333334,182.63614499563343,30.6,1015.5104166666666,175.1875
2010-08-31,21.277083333333334,26.2,15.4,68.47916666666667,0.0,7.639583333333333,232.44246751800586,31.0,1014.725,212.54166666666666
2010-09-01,20.879166666666666,25.8,16.0,76.77083333333333,0.0,5.520833333333333,254.09504110426712,25.9,1011.8291666666668,111.875
2010-09-02,21.5625,25.0,18.4,72.9375,0.0,5.722916666666666,82.20099526334604,21.6,1013.5083333333333,117.75
2010-09-03,23.03333333333333,30.2,16.0,65.25,0.0,5.845833333333334,241.08624618417656,27.4,1015.7020833333332,234.1875
2010-09-04,23.7,30.8,16.8,70.9375,0.0,6.433333333333334,193.30925153296027,29.5,1015.2541666666666,233.22916666666666
2010-09-05,23.160416666666666,29.9,16.6,72.3125,0.0,6.2749999999999995,227.5252824938723,24.1,1014.6604166666666,226.1875
2010-09-06,23.60625,30.8,17.8,70.72916666666667,1.2,9.266666666666667,259.5840108250679,33.1,1010.7895833333333,242.25
2010-09-07,21.829166666666666,28.0,16.1,78.25,14.2,7.827083333333333,281.18884840856356,46.1,1003.6,158.64583333333334
2010-09-08,18.983333333333334,25.6,14.1,63.5625,0.0,9.112499999999999,301.49517215316763,36.4,1010.4333333333334,252.45833333333334
2010-09-09,19.154166666666665,25.6,13.3,74.4375,0.0,5.8187500000000005,218.89867386047877,27.4,1018.2854166666666,226.45833333333334
2010-09-10,20.224999999999998,26.3,14.4,75.16666666666667,0.0,5.820833333333333,240.98640484849832,29.2,1020.5395833333333,230.72916666666666
2010-09-11,21.389583333333334,29.0,14.8,69.27083333333333,0.0,8.03125,266.5311100671754,31.0,1017.1083333333332,250.04166666666666
2010-09-12,21.695833333333336,28.6,15.4,69.3125,0.0,6.133333333333333,329.56800719100266,28.1,1019.7145833333334,253.91666666666666
2010-09-13,20.741666666666667,27.5,14.7,66.9375,0.0,6.910416666666666,74.38098975813138,35.3,1022.7166666666667,257.4375
2010-09-14,21.077083333333334,26.7,16.4,75.54166666666667,0.0,5.539583333333333,222.74577080890705,27.0,1022.7708333333334,202.85416666666666
2010-09-15,22.575,29.8,15.1,68.375,0.0,9.883333333333333,261.29553753870215,30.2,1017.6416666666668,223.4375
2010-09-16,21.941666666666666,27.4,16.0,78.27083333333333,0.0,5.566666666666666,197.95159412351455,22.3,1013.65,146.25
2010-09-17,18.131249999999998,21.6,16.1,92.29166666666667,68.8,8.535416666666666,55.711729741455144,41.0,1011.6479166666667,60.333333333333336
2010-09-18,16.710416666666667,19.6,14.4,91.85416666666667,0.1,3.2854166666666664,42.106429951340665,18.4,1013.7520833333333,50.5625
2010-09-19,17.683333333333334,25.2,13.1,66.72916666666667,0.0,7.070833333333333,295.4976525187916,26.3,1016.4499999999999,254.125
2010-09-20,17.6375,22.4,12.4,87.83333333333333,1.3,3.6645833333333333,251.39272182119333,17.3,1017.2979166666668,63.895833333333336
2010-09-21,18.256249999999998,21.5,16.1,92.0625,1.9,4.96875,27.18147594112302,19.4,1017.56875,90.10416666666667
2010-09-22,19.152083333333334,24.4,13.5,82.91666666666667,0.1,4.5562499999999995,227.89967711018204,22.3,1019.5229166666667,208.39583333333334
2010-09-23,20.464583333333334,25.2,16.4,83.64583333333333,0.0,4.552083333333333,252.13659764576784,18.7,1014.4625,102.125
2010-09-24,19.622916666666665,25.2,15.1,72.22916666666667,0.0,9.375,264.0048486303367,37.8,1007.2125,158.1875
2010-09-25,17.308333333333334,24.1,10.3,64.52083333333333,0.0,6.9875,325.2217247653456,28.1,1007.5812500000001,217.5625
2010-09-26,15.3125,21.1,10.3,69.3125,0.1,6.735416666666667,332.30722342072016,26.6,1009.7041666666668,204.0
2010-09-27,14.908333333333333,20.6,9.3,67.39583333333333,0.0,6.872916666666666,44.129415135758286,22.7,1013.625,226.4375
2010-09-28,15.00625,20.2,11.0,76.52083333333333,0.0,4.375,269.9290475154293,22.0,1016.8666666666667,145.54166666666666
2010-09-29,15.472916666666668,21.8,9.2,78.58333333333333,0.0,5.510416666666667,51.07621396940576,24.1,1017.9583333333334,206.27083333333334
2010-09-30,16.452083333333334,23.4,9.3,77.79166666666667,0.0,4.9312499999999995,225.98596954663208,20.5,1017.3458333333333,190.1875
2010-10-01,17.650000000000002,23.5,13.6,80.83333333333333,0.0,5.325,40.32575720407293,17.6,1014.5958333333333,139.5
2010-10-02,18.477083333333333,23.3,14.5,84.8125,0.0,3.922916666666667,92.71318371833307,15.5,1014.38125,105.85416666666667
2010-10-03,19.029166666666665,24.5,12.6,84.02083333333333,0.0,4.654166666666667,159.424737652015,22.3,1008.25,141.04166666666666
2010-10-04,19.224999999999998,22.3,14.2,62.75,0.1,14.141666666666666,288.0974594633365,55.8,1003.275,207.97916666666666
2010-10-05,17.075,24.3,12.1,66.70833333333333,0.0,5.7375,280.35093726667594,23.8,1011.8166666666666,161.0
2010-10-06,17.672916666666666,25.5,9.4,71.83333333333333,0.0,7.229166666666667,255.76974264904482,25.2,1012.2979166666668,205.875
2010-10-07,19.658333333333335,24.2,15.8,74.52083333333333,0.0,11.541666666666666,60.727572764743236,29.5,1014.7624999999999,181.3125
2010-10-08,20.004166666666666,23.4,16.2,80.0,0.0,8.079166666666667,58.19484513287943,24.5,1013.9645833333334,86.66666666666667
2010-10-09,20.20625,24.7,15.5,80.25,1.1,10.127083333333333,74.93740150035505,35.3,1010.90625,150.33333333333334
2010-10-10,16.022916666666667,19.3,13.9,91.22916666666667,81.0,7.127083333333334,308.75437785075087,51.8,998.7458333333334,53.770833333333336
2010-10-11,15.827083333333334,19.8,13.1,88.45833333333333,11.6,8.589583333333334,32.40644995295346,32.4,1000.3791666666666,107.8125
2010-10-12,16.256249999999998,18.0,14.3,77.75,8.1,20.73125,47.352679222557974,50.8,1002.4270833333334,66.375
2010-10-13,15.585416666666667,19.0,13.1,84.16666666666667,2.5,6.089583333333334,157.02651723923842,26.6,1007.6999999999999,89.16666666666667
2010-10-14,14.547916666666666,19.7,9.4,80.45833333333333,0.0,4.4875,314.4766904259898,17.3,1011.2729166666667,149.85416666666666
2010-10-15,12.55625,18.8,8.2,78.375,0.0,6.0,287.7505736028345,20.9,1010.8270833333332,184.8125
2010-10-16,11.9625,18.4,6.9,76.70833333333333,0.0,6.141666666666667,341.7657630695156,22.0,1011.0270833333334,177.83333333333334
2010-10-17,11.397916666666667,18.4,6.0,65.83333333333333,0.0,7.258333333333333,322.3396376612157,29.9,1012.7166666666667,182.1875
2010-10-18,10.179166666666667,18.0,3.6,60.041666666666664,0.0,7.072916666666667,305.64468377307963,28.1,1015.93125,191.125
2010-10-19,9.564583333333333,17.8,2.4,62.041666666666664,0.0,5.170833333333333,314.6044106774266,29.5,1016.2958333333332,189.625
2010-10-20,10.885416666666666,18.6,3.7,73.8125,0.0,3.9645833333333336,12.57468169791666,19.4,1017.5749999999999,155.85416666666666
2010-10-21,11.435416666666667,17.6,6.7,84.625,0.0,4.70625,262.29576214474315,20.9,1022.5041666666666,128.27083333333334
2010-10-22,12.768749999999999,19.8,6.6,83.79166666666667,0.0,4.614583333333333,256.07968251531383,22.7,1021.5770833333332,150.72916666666666
2010-10-23,14.2875,20.7,9.8,82.72916666666667,0.0,4.4125000000000005,265.504334253896,21.6,1017.40625,148.1875
2010-10-24,14.674999999999999,20.6,9.9,76.14583333333333,0.0,7.564583333333334,273.14970982482635,28.1,1011.8354166666667,132.5
2010-10-25,11.075000000000001,15.6,4.9,47.020833333333336,0.0,15.404166666666667,318.9169917831833,52.2,1012.96875,171.10416666666666
2010-10-26,10.322916666666666,17.4,4.3,42.666666666666664,0.0,7.5,280.406772237866,30.6,1020.6999999999999,176.45833333333334
2010-10-27,10.4625,19.4,2.6,58.229166666666664,0.0,6.21875,265.35367298766255,22.7,1024.6520833333334,164.14583333333334
2010-10-28,11.481250000000001,20.3,5.3,62.354166666666664,0.0,3.7416666666666667,262.65227186411926,12.6,1022.9145833333333,140.16666666666666
2010-10-29,12.258333333333333,19.3,3.9,79.0625,0.0,3.9416666666666664,262.9948331111218,18.7,1016.2083333333334,127.9375
2010-10-30,13.883333333333333,18.2,10.7,72.6875,0.0,7.9375,268.3138812525606,31.0,1007.40625,95.0625
2010-10-31,13.418750000000001,17.7,8.6,78.70833333333333,9.0,7.8625,273.53055174597597,31.3,998.1041666666666,103.5
2010-11-01,11.6,16.5,7.0,80.35416666666667,0.0,4.522916666666666,321.70035207703296,20.2,1006.7729166666667,82.5625
2010-11-02,13.0375,21.5,8.3,71.97916666666667,0.0,4.641666666666667,320.74567706998477,21.2,1014.9229166666668,128.02083333333334
2010-11-03,13.429166666666667,21.0,7.2,69.95833333333333,0.0,4.6187499999999995,314.1202838536301,24.8,1022.2125,146.75
2010-11-04,14.00625,22.4,8.3,76.89583333333333,0.0,4.260416666666667,276.4154029168749,18.4,1028.2375,144.625
2010-11-05,13.614583333333334,19.9,9.0,83.77083333333333,0.0,4.647916666666666,352.56948991679576,17.6,1028.6604166666666,143.125
2010-11-06,13.18125,19.8,7.8,82.39583333333333,0.0,5.304166666666666,261.89328088063223,20.2,1020.9395833333333,136.27083333333334
2010-11-07,11.414583333333333,16.3,6.3,76.375,0.0,6.166666666666667,284.79583587309367,30.2,1006.7125,82.60416666666667
2010-11-08,7.791666666666667,12.1,3.2,74.375,0.5,10.727083333333333,271.73831416850874,43.9,993.7520833333333,46.875
2010-11-09,11.358333333333334,15.5,7.5,62.854166666666664,0.0,14.933333333333332,267.1304104611016,48.6,985.7375000000001,138.16666666666666
2010-11-10,11.308333333333332,15.2,7.0,59.291666666666664,0.0,14.65625,283.1185234616228,58.7,1000.1374999999999,138.0625
2010-11-11,9.252083333333333,15.6,1.8,65.52083333333333,0.0,6.966666666666666,290.62448273642485,28.8,1017.69375,140.79166666666666
